"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mfap3",693.957293148568,0.416422714255004,0.132996161752425,3.13108821162961,0.00174159839464319,0.00740469057323189
"Fam114a2",934.207360596228,0.374512551133802,0.0831529546180696,4.50389950488203,6.67177656816225e-06,5.94221137974761e-05
"Gria1",4.3515610709872,4.62720582566151,1.57554848659525,2.93688570363256,0.00331526266862382,0.0126551150198118
"Ppm1d",458.130987641541,-0.120775211591196,0.135065033841907,-0.894200431864273,0.371214661227516,0.532754061488051
"Znhit3",220.768541141543,-0.429613348967055,0.17002191650953,-2.52681158868701,0.0115103234258541,0.0358416273978302
"Myo19",576.962814243437,0.0374503006657153,0.114154097677534,0.32806794874334,0.742860287239356,0.839090661960494
"Prpsap2",306.978515757107,-0.168108380987499,0.137081555264998,-1.22633844256087,0.220071340521151,0.365554568939411
"Ggnbp2",2094.35408540004,0.11338275251635,0.113779212219949,0.996515534816386,0.318999722874021,0.478684316237967
"Acaca",3068.94325371007,-0.33656639150956,0.226083423774777,-1.48868230094058,0.136571047834819,0.256259864953439
"Shmt1",443.762582324822,0.383916960935677,0.268149581982583,1.43172686713572,0.152222004186734,0.277730074097706
"Llgl1",901.825989129119,0.281407883943955,0.143250821691704,1.96444167384662,0.0494788940033263,0.116358596973524
"Drg2",1093.6864991333,-0.136390179931544,0.128405751311801,-1.06218123828702,0.288153415477236,0.445379855723337
"Srebf1",1170.63750309202,0.333795703433219,0.129677895869112,2.57403701067242,0.0100519519906232,0.0320240791432909
"Tom1l1",293.763750721742,-0.35741090384382,0.264026210190791,-1.35369478501982,0.17583377259713,0.309828850342867
"Myocd",8.61547894911313,-5.93761638748013,1.35385565828191,-4.38570858803012,1.15608811487638e-05,9.63246860859653e-05
"Cox11",172.481290262369,-0.236824742827507,0.161898798029547,-1.46279494171591,0.143523497609756,0.266038016932972
"Stxbp4",366.847050669292,0.383390897013979,0.291568056475713,1.31492764210237,0.188534221728865,0.326078137150354
"Bzw2",2153.57927860221,0.391498642171676,0.121554997865895,3.22075314915143,0.00127854220692885,0.0056942931750925
"Elac2",810.265103745044,-0.0393990496472612,0.138268523989965,-0.284945904608923,0.775685586328116,0.862923355870835
"Pctp",89.0615126557585,3.22215098240159,0.398234556905012,8.09108834613302,5.91339425961999e-16,3.52197753022112e-14
"Twistnb",973.521256134951,-0.0214250327155991,0.148544882972728,-0.144232721362288,0.885316703169466,0.932552266492316
"Atxn7l1",251.035958684371,0.359286272112923,0.170311801404654,2.10957942520538,0.0348945980936391,0.0879782010411105
"Atp6v1c2",10.1229510522802,4.63893599868782,1.23601320753481,3.75314435995392,0.000174630220229852,0.00102875204339933
"Sypl",2084.57450485806,0.0567862602329106,0.105437700918563,0.5385764270104,0.590179156731645,0.72445027368657
"Pdia6",11058.8642773638,0.393544714384505,0.0991511839274525,3.96913782363361,7.21331533500804e-05,0.000476011081450108
"Nampt",1044.98285155941,0.274358145464383,0.177788647465349,1.54317021573526,0.12278948182479,0.236266797608384
"Nbas",999.508587190887,0.434439138128061,0.127690669164544,3.40227787175457,0.000668266543982735,0.00326491294481103
"Tspan13",16.0932592810743,4.60314957834558,0.935666546789677,4.91964748995167,8.67002161962829e-07,9.72592369397408e-06
"Rock2",9718.26697258152,0.0153524786662016,0.126997424265795,0.120888110565692,0.9037796594966,0.944149155992881
"Matn3",35.7224942483885,1.25626680653116,0.404197387793617,3.10805275954086,0.00188324445112321,0.00788058469931166
"Laptm4a",6338.78641635063,0.453420754327759,0.123615674782563,3.66798753576611,0.000244467098412572,0.00137890430790012
"Fam49a",212.621376078692,-3.54191110943013,0.957343305261782,-3.69972933425549,0.000215829529068476,0.00123572295746904
