"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Actr3b",23.33209308837,1.72394911007238,0.663028633359703,2.60011260952151,0.00931931735190348,0.0316101169638888
"AI987944",297.75894591576,-0.0878490294818866,0.159659765887721,-0.550226470604155,0.582164049847617,0.728941626011774
"Lig1",2400.15690039175,-0.428747112869767,0.144119823644688,-2.97493503688151,0.00293050600461758,0.0121079342742224
"Slit3",1560.71271242426,-0.192179929192768,0.574984000672586,-0.334235263882066,0.73820203585335,0.845584533938122
"Tgoln1",2476.18593715901,-0.165305592894725,0.144556428239238,-1.1435367828897,0.252815791828368,0.411627333480776
"Hoxaas2",94.0769691345188,1.60879202984574,0.61490438616926,2.61632875944863,0.00888809338917917,0.0304042445067662
"Prl2c3",187.476072295052,1.13574231112215,0.345781137797086,3.28456988243423,0.00102138165158645,0.00490654152245357
"Mok",36.7977787684747,0.702254416511034,0.362259294124331,1.9385407852918,0.0525572799236389,0.127344109656517
"Zbtb25",178.568692014595,0.0355157329563022,0.178103311145166,0.199410851645282,0.841941372561617,0.910315751112664
"5730596B20Rik",10.8576045762399,-0.19442170895207,0.653784124724818,-0.297379060762455,0.766177128081232,0.862378740575736
"Cd248",4512.86151497509,-0.304009171871913,0.302096324488163,-1.0063319121376,0.314255934422312,0.481331743951185
"Chn1",110.281304272232,1.80568300996473,0.389871526186713,4.63148213881096,3.63057322954138e-06,3.71948522699953e-05
"Adgrf5",48.5250768337533,1.72878531863013,0.503761467052299,3.43175377971228,0.000599691749723741,0.0031219508274507
"Foxk1",867.41748135942,-0.132414972457226,0.125862120406755,-1.05206373473841,0.292770309184824,0.457623685807635
"Tmem154",28.2907424017644,2.09847925021401,0.558784264227486,3.75543726721642,0.000173039101141704,0.00108485174203737
"Cebpb",405.229768312325,1.52534996505745,0.329033866159314,4.63584488387859,3.55482476806277e-06,3.65787825328626e-05
"Rab31",1678.22981140468,0.0725224379482788,0.108532255853689,0.668210914606302,0.503998969321542,0.662672570727399
"Ccdc18",171.229077191254,0.461309241427239,0.283962347501711,1.62454369561957,0.104259822639766,0.21633836241874
"Pign",903.822850083622,0.524963610385815,0.172387128525662,3.04525990354127,0.00232479314677645,0.00994023816700145
"Rlim",3118.83117496692,-0.266911974172994,0.161326521135859,-1.65448292254574,0.0980294303454921,0.206581959960455
"Tug1",2198.96023055992,0.444899777548746,0.144477672475252,3.07936700478722,0.00207440965539335,0.00901604889183948
"Zfp658",130.395343743133,0.329763473529934,0.24164631348368,1.36465344236342,0.172361999228895,0.312810879426901
"Trnp1",59.2642956300167,-0.0482534960700384,0.32479423344815,-0.148566357098645,0.881895821483584,0.933813365909396
"Drc3",7.02706852343131,1.31541556301529,0.968533980516395,1.35815117432839,0.174415719824169,0.315479006286001
"Olfr90",8.26722213123663,-0.131999795161925,0.640769086548797,-0.20600212765082,0.836789249326486,0.907067836768344
"Fry",24.9638916157886,4.48525951039622,0.851781780002995,5.26573779305358,1.3962745496276e-07,2.00496232908174e-06
"Chd9",1500.44457548052,-0.28728719671425,0.217592682314343,-1.32029806176672,0.18673552246335,0.33153397798975
"Ppp1r14b",3641.17930563587,0.106323142925089,0.228090498034499,0.466144551576225,0.641112035559736,0.773450413855261
"Fkbp2",780.801603388054,-0.0979938933019858,0.24948164178074,-0.39278999690129,0.694474593425844,0.813037739191081
